Companyname	attribute	value	fiscial_year	quarter	date_inserted	source	unit
Nelly	Kassaf LöpandeVerk	50.4	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kassaf LöpandeVerk	-4.5	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kassaf LöpandeVerk	106	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kassaf LöpandeVerk	-18.4	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kassaf LöpandeVerk	71.7	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kassaf LöpandeVerk	-13.0	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kassaf LöpandeVerk	104	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kassaf LöpandeVerk	-18.5	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kassaf LöpandeVerk	50.8	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kassaf Investeringsverk	-8.9	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kassaf Investeringsverk	-11.0	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kassaf Investeringsverk	-9.6	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kassaf Investeringsverk	-7.2	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kassaf Investeringsverk	-3.1	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kassaf Investeringsverk	-2.5	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kassaf Investeringsverk	-3.5	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kassaf Investeringsverk	-9.2	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kassaf Investeringsverk	-5.6	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kassaf Investeringsverk	-13.9	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kassaf Finansieringsverk	-7.0	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kassaf Finansieringsverk	-7.7	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kassaf Finansieringsverk	-11.0	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kassaf Finansieringsverk	-4.7	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kassaf Finansieringsverk	-7.9	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kassaf Finansieringsverk	-32.8	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kassaf Finansieringsverk	-7.7	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kassaf Finansieringsverk	-7.9	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kassaf Finansieringsverk	-8.7	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kassaf Finansieringsverk	-9.7	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Åretskassaflöde	-29.6	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Åretskassaflöde	31.7	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Åretskassaflöde	-25.1	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Åretskassaflöde	93.9	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Åretskassaflöde	-29.5	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Åretskassaflöde	36.4	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Åretskassaflöde	-24.2	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Åretskassaflöde	87.1	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Åretskassaflöde	-32.8	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Åretskassaflöde	27.2	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	FrittKassaflöde	-22.6	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	FrittKassaflöde	39.4	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	FrittKassaflöde	-14.1	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	FrittKassaflöde	98.5	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	FrittKassaflöde	-21.5	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	FrittKassaflöde	69.2	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	FrittKassaflöde	-16.5	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	FrittKassaflöde	94.9	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	FrittKassaflöde	-24.1	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	FrittKassaflöde	36.9	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	EBITDA	24.7	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	EBITDA	37.0	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	EBITDA	14.1	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	EBITDA	43.3	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	EBITDA	38.3	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	EBITDA	50.0	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	EBITDA	33.1	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	EBITDA	68.6	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	EBITDA	57.2	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	EBITDA	62.8	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Totala Skulder	657	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Totala Skulder	621	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Totala Skulder	624	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Totala Skulder	651	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Totala Skulder	610	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Totala Skulder	631	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Totala Skulder	593	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Totala Skulder	608	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Totala Skulder	627	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Totala Skulder	583	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Totala Skulder och Eget kapital	816	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Totala Skulder och Eget kapital	800	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Totala Skulder och Eget kapital	801	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Totala Skulder och Eget kapital	855	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Totala Skulder och Eget kapital	836	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Totala Skulder och Eget kapital	868	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Totala Skulder och Eget kapital	847	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
