companyid	company_name
590	Gabather
591	Gabriel Holding
592	Game Chest
593	Gaming Corps
594	Gapwaves
595	Garo
596	Garpco
597	Gasporox
598	General Industrials
599	Generic Sweden
600	Genetic Analysis
601	Genmab
602	Genova Property
603	Genovis
604	Gentian Diagnostics
605	Gentoo Media
606	German High Street
607	Getinge
608	GiG Software
609	Gigante Salmon
610	Gigasun
611	Gjensidige Forsikring
612	Glaston
613	Glunz & Jensen
614	Glycorex Transplantation
615	GN Store Nord
616	Gofore
617	Gold Town Games
618	Golden Energy Offshore
619	Golden Ocean
620	Gomero Group
621	GomSpace
622	Goobit Group
623	Goodbye Kansas
624	Goodtech
625	Gosol Energy
626	Gotlandsbolaget A
627	Gotlandsbolaget B
628	Gränges
629	Grangex
630	Greater Than
631	Green Hydrogen
632	Green Landscaping
633	Green Minerals
634	Greenmerc
635	GreenMobility
636	Grieg Seafood
637	GRK Infra
638	Grong Sparebank
639	Grönlandsbanken
640	Gruvaktiebolaget Viscaria
641	Guard Therapeutics
642	Gubra
643	Guideline Geo
644	Gullberg & Jansson
645	Gyldendal
646	Gyldendal A
647	Gyldendal B
648	H. Lundbeck A
649	H. Lundbeck B
650	H&D Wireless
651	H100 Group
652	Hafnia Limited
653	HAKI Safety A
654	HAKI Safety B
655	Hamlet BioPharma
656	Handelsbanken A
657	Handelsbanken B
658	Hansa Biopharma
659	Hanza
660	Harboes Bryggeri
661	Harvia
662	Haugesund Sparebank
663	Hav Group
664	Havila Kystruten
665	Havila Shipping
666	Havsfrun Investment
667	Haypp Group
668	Health Care Providers
669	Heba
670	Hedera
671	Heeros
672	Heimstaden Pref
673	Heliospectra
674	Hemnet
675	Hemply Balance
676	Hennes & Mauritz
677	Herantis Pharma
678	Hermana Holding
679	Hernö Gin
680	Hexagon
681	Hexagon Composites
682	Hexagon Purus
683	Hexatronic
684	Hexicon
685	Hexpol
686	HH International
687	Hiab
688	Hifab
689	High Coast Distillery
690	Hilbert Group
691	Himalaya Shipping
692	HKFoods
693	HMS Networks
694	Höegh Autoliners
695	Hofseth BioCare
696	Hoi Publishing
697	Hoist Finance
698	Holand Og Setskog Sparebank
699	Holdflight
700	Holmen A
701	Holmen B
702	HomeMaid
703	Honkarakenne
704	Hoodin
705	Horisont Energi
706	Hotel Fast
707	Household Goods
708	Hove
709	HRC World
710	Hubbster
711	Hubso Group
712	Huddlestock Fintech
713	Huddly
714	Hufvudstaden A
715	Huhtamäki
716	Humana
717	Humble Group
718	Hunter Capital
719	Hunter Group
720	HusCompagniet
721	Husqvarna A
722	Husqvarna B
723	Hvidbjerg Bank
724	Hybricon
725	HydrogenPro
726	Hynion
727	I Love Lund
728	I-Tech
729	I.A.R Systems
730	Icelandic Salmon
731	Iconovo
732	IDEX Biometrics
733	Idun Industrier
734	Igrene
735	Ilkka 1
736	Ilkka 2
737	Image Systems
738	Immunovia
739	Impact Coatings
740	Impero
741	Implantica
742	Incap
743	InCoax Networks
744	Inderes
745	Induct
746	Industrial Engineering
747	Industrial Goods & Services
748	Industrial Materials
749	Industrial Metals & Mining
750	Industrial Support Services
751	Industrial Transportation
752	Industrivärden A
753	Industrivärden C
754	Indutrade
755	Infant Bacterial
756	Infracom
757	Infrea
758	Inhalation Sciences
759	Inify Laboratories
760	ININ Group
761	Inission
762	Initiator Pharma
763	Insplorion
764	Instabank
765	Instalco
766	Insurance
767	Intea Fastigheter B
768	Intea Fastigheter D
769	Integrated Wind
770	Integrum
771	Intellego Technologies
772	International Petroleum
773	InterOil Exploration
774	Intervacc
775	Intrum
776	Invent Medic
777	Investment Banking
778	Investor A
779	Investor B
780	Investors House
781	Invisio
782	Inwido
783	Irisity
784	IRLAB Therapeutics
785	Isofol Medical
786	ISS
787	ITAB Shop Concept
788	Itera
