file_name	processed	type
52a126e9_4002356.pdf	TRUE	other
56caef6e_change-in-number-of-shares-and-votes-in-alligator-bioscience-ab.pdf	TRUE	other
56e0bc57_islandsbanki-floggun-eiginbref-30032026.pdf	TRUE	other
572b05a2_kallelse-till-arsstamma-i-vitec-software-group-ab-publ.pdf	TRUE	other
573b4bd6_4013948.pdf	TRUE	other
5943ddc7_logisteas-fastighet-i-nassjo-certifierad-med-hogsta-betyget-breeam-in-use-outstanding.pdf	TRUE	other
5a9acb98_change-in-the-number-of-shares-and-votes-in-academedia.pdf	TRUE	other
5b47f0b7_4016407.pdf	TRUE	other
5c3875a1_andring-av-antalet-aktier-och-roster-i-alligator-bioscience-ab.pdf	TRUE	other
5c5db223_4016004.pdf	TRUE	other
5c83d4f8_sv-ctt-ar-2025-final.pdf	TRUE	Annual report
5d5e5bd8_4015203.pdf	TRUE	other
5d9e7c16_valberedningens-forslag-avseende-styrelse-infor-arsstamman-i-alligator-bioscience-ab-publ.pdf	TRUE	other
5e587a16_ba105a461b939b60.pdf	TRUE	other
5ec3f5d1_engcon-ab-ars-och-hallbarhetsredovisning-2025.pdf	TRUE	Annual report
5edbd1d8_antal-aktier-och-roster-i-nanologica-ab-publ.pdf	TRUE	other
5f302dd0_4017884.pdf	TRUE	other
5ffaba3f_4015528.pdf	TRUE	Annual report
60d274b2_change-in-number-of-shares-and-votes-in-wastbygg-gruppen.pdf	TRUE	other
619e713e_4017299.pdf	TRUE	other
62b6e31d_4012179.pdf	TRUE	other
63463c56_kallelse-till-arsstamma-i-infant-bacterial-therapeutics.pdf	TRUE	other
637627d2_4017356.pdf	TRUE	Annual report
6424e8d0_forandring-av-det-totala-antalet-aktier-och-roster-i-flerie-ab-publ.pdf	TRUE	other
643cddf6_kallelse-till-arsstamma-i-sveafastigheter-ab-publ.pdf	TRUE	other
644b7bc7_press-release.pdf	TRUE	other
6464f41e_change-in-the-number-of-shares-and-votes-in-starbreeze-ab.pdf	TRUE	other
6505cac7_prisma-ars-och-hallbarhetsredovisning-2025-swe.pdf	TRUE	Annual report
65cbb4ce_4014893.pdf	TRUE	other
667a74cc_4015732.pdf	TRUE	other
667a74cc_8bb269c28d073f44.pdf	TRUE	other
669e8978_mars-fran-kursraketer-till-kassafloden-sa-navigerar-aktiespararna-borsfrossan.pdf	TRUE	other
680375f1_castellum-arsredovisning-2025.pdf	TRUE	Annual report
681335c8_midsona-forvarvar-risenta-ett-av-sveriges-ledande-varumarken-inom-naturliga-och-halsosamma-livsmedel.pdf	TRUE	other
