companyid	attribute_id	value	fiscial_year	quarter	date_inserted	source	unit
1	27	-0.80	2025	3	2026-04-02 11:52:28+00	borsdata	SEK
1	27	1.23	2025	4	2026-04-02 11:52:28+00	borsdata	SEK
1	112	-0.99	2023	3	2026-04-02 11:52:28+00	borsdata	SEK
1	112	1.06	2023	4	2026-04-02 11:52:28+00	borsdata	SEK
1	112	-0.84	2024	1	2026-04-02 11:52:28+00	borsdata	SEK
1	112	3.13	2024	2	2026-04-02 11:52:28+00	borsdata	SEK
1	112	-0.98	2024	3	2026-04-02 11:52:28+00	borsdata	SEK
1	112	1.21	2024	4	2026-04-02 11:52:28+00	borsdata	SEK
1	112	-0.81	2025	1	2026-04-02 11:52:28+00	borsdata	SEK
1	112	2.90	2025	2	2026-04-02 11:52:28+00	borsdata	SEK
1	112	-1.09	2025	3	2026-04-02 11:52:28+00	borsdata	SEK
1	112	0.91	2025	4	2026-04-02 11:52:28+00	borsdata	SEK
1	25	10.4	2023	3	2026-04-02 11:52:28+00	borsdata	%
1	25	12.3	2023	4	2026-04-02 11:52:28+00	borsdata	%
1	25	6.3	2024	1	2026-04-02 11:52:28+00	borsdata	%
1	25	13.8	2024	2	2026-04-02 11:52:28+00	borsdata	%
1	25	16.0	2024	3	2026-04-02 11:52:28+00	borsdata	%
